id,pokedex_version_id,flavor_text
333,7,SWABLU has light and fluffy wings that are like cottony clouds. This Pokemon is not frightened of people.It lands on the heads of people and sits there like a cotton-fluff hat.
333,8,SWABLU loves to make things clean. If it spots something dirty it will wipe and polish it with its cottony wings.If its wings become dirty this Pokemon finds a stream and showers itself.
333,9,A Pokemon that has wings like cottony clouds. After enduring winter in which little food is available SWABLU flocks move closer to towns in the spring.
333,10,It constantly grooms its cotton-like wings. It takes a shower to clean itself if it becomes dirty.
333,11,It constantly grooms its cotton-like wings. It takes a shower to clean itself if it becomes dirty.
333,12,Its wings are like cotton tufts. If it perches on someone's head it looks like a cotton hat.
333,13,Its wings are like cotton tufts. If it perches on someone's head it looks like a cotton hat.
333,14,It can't relax if it or its surroundings are not clean. It wipes off dirt with its wings.
333,15,Its wings bring cottony clouds to mind. It grooms with springwater and loves to sit on heads.
333,16,Its wings bring cottony clouds to mind. It grooms with springwater and loves to sit on heads.
333,17,It can't relax if it or its surroundings are not clean. It wipes off dirt with its wings.
333,18,It can't relax if it or its surroundings are not clean. It wipes off dirt with its wings.
333,21,For some reason it likes to land on people's heads softly and act like it's a hat.
333,22,For some reason it likes to land on people's heads softly and act like it's a hat.
333,23,For some reason it likes to land on people's heads softly and act like it's a hat.
333,24,It constantly grooms its cotton-like wings. It takes a shower to clean itself if it becomes dirty.
333,25,Swablu has light and fluffy wings that are like cottony clouds. This Pokemon is not frightened of people. It lands on the heads of people and sits there like a cotton-fluff hat.
333,26,Swablu loves to make things clean. If it spots something dirty it will wipe and polish it with its cottony wings. If its wings become dirty this Pokemon finds a stream and showers itself.
