id,pokedex_version_id,flavor_text
325,7,SPOINK bounces around on its tail. The shock of its bouncing makes its heart pump. As a result this Pokemoncannot afford to stop bouncing - if it stops its heart will stop.
325,8,SPOINK keeps a pearl on top of its head. The pearl functions to amplify this Pokemon's psychokinetic powers.It is therefore on a constant search for a bigger pearl.
325,9,A Pokemon that manipulates psychic power at will. It doesn't stop bouncing even when it is asleep. It loves eating mushrooms that grow underground.
325,10,It apparently dies if it stops bouncing about. It carries a pearl from CLAMPERL on its head.
325,11,It apparently dies if it stops bouncing about. It carries a pearl from CLAMPERL on its head.
325,12,It bounces constantly using its tail like a spring. The shock of bouncing keeps its heart beating.
325,13,It bounces constantly using its tail like a spring. The shock of bouncing keeps its heart beating.
325,14,It bounces constantly using its tail like a spring. The shock of bouncing keeps its heart beating.
325,15,It bounces around on its tail to keep its heart pumping. It carries a pearl from CLAMPERL on its head.
325,16,It bounces around on its tail to keep its heart pumping. It carries a pearl from CLAMPERL on its head.
325,17,It bounces constantly using its tail like a spring. The shock of bouncing keeps its heart beating.
325,18,It bounces constantly using its tail like a spring. The shock of bouncing keeps its heart beating.
325,21,Using its tail like a spring it keeps its heart beating by bouncing constantly. If it stops it dies.
325,22,Using its tail like a spring it keeps its heart beating by bouncing constantly. If it stops it dies.
325,23,It bounces constantly using its tail like a spring. The shock of bouncing keeps its heart beating.
325,24,It bounces around on its tail to keep its heart pumping. It carries a pearl from Clamperl on its head.
325,25,Spoink bounces around on its tail. The shock of its bouncing makes its heart pump. As a result this Pokemon cannot afford to stop bouncing - if it stops its heart will stop.
325,26,Spoink keeps a pearl on top of its head. The pearl functions to amplify this Pokemon's psychokinetic powers. It is therefore on a constant search for a bigger pearl.
