id,pokedex_version_id,flavor_text
16,1,A common sight in forests and woods. It flaps itswings at ground level to kick up blinding sand.
16,2,A common sight in forests and woods. It flaps itswings at ground level to kick up blinding sand.
16,3,Very docile. If attacked it will often kick upsand to protect itself rather than fight back.
16,4,It usually hides in tall grass. Be cause it dislikesfighting it pro tects itself by kicking up sand.
16,5,Common in grassy areas and forests it is very docileand will chase off enemies by flap ping up sand.
16,6,It rapidly flaps its wings in the grass stirring upa dust cloud that drives insect prey out into the open.
16,7,PIDGEY has an extremely sharp sense of direction. It is capable of unerringly returninghome to its nest however far it may be removed from its familiar surroundings.
16,8,PIDGEY has an extremely sharp sense of direction. It is capable of unerringly returninghome to its nest however far it may be removed from its familiar surroundings.
16,9,It has an extremely sharp sense of direction. It can unerringly return home to its nest however far it may be removed from its familiar surroundings.
16,10,Does not like to fight. It hides in tall grass and so on foraging for food such as small bugs.
16,11,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
16,12,It is docile and prefers to avoid conflict. If disturbed however it can ferociously strike back.
16,13,It is docile and prefers to avoid conflict. If disturbed however it can ferociously strike back.
16,14,It is docile and prefers to avoid conflict. If disturbed however it can ferociously strike back.
16,15,It usually hides in tall grass. Because it dislikes fighting it protects itself by kicking up sand.
16,16,Common in grassy areas and forests it is very docile and will chase off enemies by flapping up sand.
16,17,It is docile and prefers to avoid conflict. If disturbed however it can ferociously strike back.
16,18,It is docile and prefers to avoid conflict. If disturbed however it can ferociously strike back.
16,21,It is docile and prefers to avoid conflict. If disturbed however it can ferociously strike back.
16,22,It is docile and prefers to avoid conflict. If disturbed however it can ferociously strike back.
16,23,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
16,24,It is docile and prefers to avoid conflict. If disturbed however it can ferociously strike back.
16,25,Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest however far it may be removed from its familiar surroundings.
16,26,Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest however far it may be removed from its familiar surroundings.
